4	169428	482364
5	63600	978480
6	160788	33984
7	2155464	8676
8	1074120	73608
9	749880	121032
10	1463664	345168
11	1269540	540960
12	830136	129084
13	175608	337224
14	2449092	1288212
15	1238244	1577004
16	1687104	892776
17	395448	1234152
18	2871360	119628
19	136308	158028
20	552264	1527300
21	695664	909972
22	1328736	1854840
23	199416	122904
24	827016	4749168
25	232032	911772
26	962916	305820
27	611772	896088
28	791868	79932
29	2214624	548316
1	20000	2000
1	60000	6000
1	60000	6000
1	720	72
1	720	72
1	534384	0
1	534384	0
1	1278468	0
1	1278468	0
1	1278468	0
1	2026500	0
