0.96694, 0, 0.775263, 2, 0.775263, 0, 0.775263, 4, 0.775263, 2, 0.782261, 0, 0.780694, 2, 0.77532, 2, 0.97461, 0, 0.778808, 2, 0.775263, 7, 0.775263, 12, 0.775263, 12
0.775263, 0, 0.754394, 10, 0.754442, 12, 0.775263, 0, 0.755728, 8, 0.774894, 5, 0.774915, 3, 0.774894, 5, 0.755728, 9, 0.754442, 11, 0.775135, 1, 0.775135, 2, 0.775135, 2
0.775263, 0, 0.754394, 8, 0.775263, 0, 0.754627, 10, 0.774882, 4, 0.759831, 9, 0.774882, 4, 0.759831, 9, 0.775124, 2, 0.774957, 3, 0.754627, 10, 0.754394, 8, 0.754394, 8
0.775263, 0, 0.754378, 9, 0.775263, 0, 0.754954, 11, 0.756577, 9, 0.77488, 4, 0.754378, 8, 0.77488, 4, 0.775124, 1, 0.774959, 3, 0.756486, 10, 0.754954, 11, 0.754954, 11
0.775263, 0, 0.749495, 15, 0.775263, 0, 0.749495, 15, 0.774927, 3, 0.754378, 8, 0.767193, 11, 0.771739, 9, 0.767193, 11, 0.759886, 10, 0.754601, 10, 0.759886, 10, 0.759886, 10
0.748234, 18, 0.775263, 0, 0.748234, 18, 0.775263, 0, 0.774876, 8, 0.750656, 11, 0.7567, 9, 0.775124, 2, 0.766181, 9, 0.768871, 9, 0.754378, 11, 0.750656, 10, 0.750656, 10
0.775263, 0, 0.747897, 18, 0.775263, 0, 0.756371, 10, 0.774978, 5, 0.754464, 9, 0.749624, 15, 0.754378, 12, 0.775176, 3, 0.749624, 15, 0.775137, 5, 0.754378, 12, 0.754378, 12
0.775263, 0, 0.716735, 12, 0.775263, 0, 0.742701, 18, 0.755501, 8, 0.774699, 6, 0.742701, 18, 0.744858, 15, 0.75409, 13, 0.775125, 3, 0.746785, 12, 0.775125, 1, 0.775125, 1
0.775263, 0, 0.664427, 17, 0.750269, 18, 0.775263, 0, 0.774964, 4, 0.709365, 15, 0.731523, 13, 0.755501, 8, 0.664427, 17, 0.754539, 9, 0.709365, 15, 0.736805, 13, 0.736805, 13
0.775263, 0, 0.510858, 22, 0.510858, 22, 0.775263, 0, 0.755501, 8, 0.664439, 13, 0.678253, 18, 0.5636, 17, 0.513277, 21, 0.5636, 17, 0.745365, 13, 0.664439, 13, 0.664439, 13
0.775263, 0, 0.231292, 29, 0.775263, 0, 0.751263, 12, 0.551279, 14, 0.482766, 18, 0.301016, 21, 0.232498, 25, 0.401994, 21, 0.775124, 5, 0.401994, 21, 0.775124, 5, 0.775124, 5
0.775263, 0, 0.231162, 30, 0.775263, 0, 0.715276, 14, 0.404929, 18, 0.751263, 12, 0.775129, 3, 0.232498, 25, 0.301016, 21, 0.301016, 21, 0.404929, 18, 0.231162, 29, 0.231162, 29
0.775263, 0, 0.230707, 22, 0.230707, 22, 0.775263, 0, 0.759369, 17, 0.293718, 21, 0.513299, 17, 0.404929, 13, 0.775263, 1, 0.770463, 9, 0.513299, 18, 0.404929, 14, 0.404929, 14
0.230641, 21, 0.775263, 0, 0.230641, 22, 0.775263, 0, 0.754448, 8, 0.513299, 17, 0.400603, 17, 0.513275, 13, 0.775124, 3, 0.404929, 14, 0.230718, 21, 0.754448, 8, 0.754448, 8
0.230641, 21, 0.775263, 0, 0.775263, 0, 0.230718, 21, 0.754394, 8, 0.421356, 17, 0.400316, 13, 0.775209, 1, 0.754394, 9, 0.400316, 14, 0.421356, 17, 0.775199, 1, 0.775199, 1
